Requirement_ID,Requirement_Type,Source_Document,Implementing_Document_or_Process,Data_Entities,Verification_Method,Status
ERAGS-F-001,Functional,ERAGS-DOC-POL-001,ERAGS-DOC-POL-001,PolicyDoc,Review,Planned
ERAGS-F-002,Functional,ERAGS-DOC-STR-001,ERAGS-DOC-STR-001,StrategyDoc,Review,Planned
ERAGS-F-003,Functional,ERAGS-DOC-PROC-OV-001,/processes/* (governance processes),,Review,Planned
ERAGS-F-004,Functional,ERAGS-DOC-STK-001,ERAGS-DOC-STK-001; /processes/* (use of RACI),StakeholderRoles,Review,Planned
ERAGS-F-005,Functional,ERAGS-REQ-OV-000,ERAGS-REQ-OV-000; ERAGS-REQ-HL-001; ERAGS_RTM.csv,Requirements;RTM,Review,Planned
ERAGS-F-006,Functional,ERAGS-DOC-STR-001; ERAGS-DOC-PROC-OV-001,PROC-Programme-Governance,,Review,Planned
ERAGS-F-007,Functional,ERAGS-DOC-POL-001; ERAGS-DOC-PROC-OV-001,PROC-Change-Control,,Review,Planned
ERAGS-F-008,Functional,ERAGS-DOC-POL-001; ERAGS-DOC-STR-001,PROC-Performance-Management,PerformanceData,Review,Planned
ERAGS-F-009,Functional,ERAGS-DOC-OV-000,Document-Metadata-Convention,DocumentMetadata,Inspection,Planned
ERAGS-NF-001,Non-Functional,ERAGS-DOC-CTX-001; ERAGS-DOC-POL-001,Repository-Config,GovernanceDocs,Inspection,Planned
ERAGS-NF-002,Non-Functional,ERAGS-REQ-OV-000; ERAGS-DOC-PROC-OV-001,ERAGS_RTM.csv; QA-Traceability-Checks,Requirements;Processes;QA,Review,Planned
ERAGS-NF-003,Non-Functional,ERAGS-DOC-PROC-OV-001,Document-Structure-Conventions; Git-Config,,Inspection,Planned
ERAGS-NF-004,Non-Functional,ERAGS-DOC-CTX-001; ERAGS-DOC-STR-001,Governance-Architecture-Model,,Analysis,Planned
ERAGS-NF-005,Non-Functional,ERAGS-DOC-STK-001; ERAGS-DOC-PROC-OV-001,/processes/* (role-based),,Review,Planned
ERAGS-NF-006,Non-Functional,ERAGS-DOC-PROC-OV-001,Process-Definitions; Performance-Review-Records,,Analysis,Planned
ERAGS-D-001,Data,ERAGS-DOC-STR-001,Data-Dictionary; Asset-Data-Spec,Asset,Review,Planned
ERAGS-D-002,Data,ERAGS-DOC-POL-001; ERAGS-DOC-STR-001,Performance-Data-Spec,PerformanceData,Review,Planned
ERAGS-D-003,Data,ERAGS-DOC-PROC-OV-001,Data-Quality-Plan; QA-Data-Checks,Asset;PerformanceData,Inspection,Planned
ERAGS-D-004,Data,ERAGS-DOC-OV-000,Document-Metadata-Convention,DocumentMetadata,Inspection,Planned
ERAGS-R-001,Regulatory,ERAGS-DOC-CTX-001,Legal-Compliance-Review,,Analysis,Planned
ERAGS-R-002,Regulatory,ERAGS-DOC-POL-001; ERAGS-DOC-STR-001,Standards-Register,,Review,Planned
ERAGS-R-003,Regulatory,ERAGS-DOC-PROC-OV-001,Decision-Log; Audit-Records,,Inspection,Planned
